generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
12,17,31,3,37,3
12,18,35,3,37,3
12,19,35,5,37,3
12,20,22,3,37,3
12,21,35,5,37,3
12,22,22,3,37,3
12,23,20,4,37,3
12,24,27,4,37,3
12,25,26,4,37,3
12,26,36,3,37,3
12,27,11,5,37,3
12,28,22,4,37,3
12,29,20,4,37,3
12,30,27,5,37,3
12,31,36,3,37,3
12,32,20,3,37,3
12,33,24,3,37,3
12,34,24,3,37,3
12,35,34,3,37,3
12,36,34,5,37,3
12,37,22,4,37,3
12,38,30,6,37,3
12,39,28,5,37,3
12,40,36,6,37,3
12,41,28,4,37,3
12,42,35,4,37,3
12,43,24,4,37,3
12,44,20,4,37,3
12,45,26,4,37,3
12,46,9,3,37,3
12,47,30,4,37,3
12,48,23,4,37,3
12,49,36,6,37,3
13,0,37,3,37,3
13,1,34,4,37,3
13,2,35,3,37,3
13,3,35,3,37,3
13,4,37,3,37,3
13,5,34,3,37,3
13,6,30,5,37,3
13,7,26,3,37,3
13,8,36,3,37,3
13,9,34,3,37,3
13,10,35,3,37,3
13,11,10,3,37,3
13,12,36,3,37,3
13,13,35,3,37,3
13,14,27,3,37,3
13,15,28,3,37,3
13,16,32,3,37,3
13,17,35,3,37,3
13,18,37,3,37,3
13,19,24,3,37,3
13,20,36,3,37,3
13,21,35,3,37,3
13,22,25,3,37,3
13,23,35,3,37,3
13,24,28,3,37,3
13,25,36,3,37,3
13,26,26,3,37,3
13,27,28,3,37,3
13,28,36,3,37,3
13,29,26,3,37,3
13,30,29,3,37,3
13,31,35,4,37,3
13,32,28,3,37,3
13,33,27,4,37,3
13,34,36,4,37,3
13,35,34,5,37,3
13,36,26,4,37,3
13,37,34,3,37,3
13,38,32,3,37,3
13,39,36,4,37,3
13,40,34,4,37,3
13,41,35,3,37,3
13,42,29,3,37,3
13,43,34,3,37,3
13,44,28,3,37,3
13,45,35,4,37,3
13,46,32,3,37,3
13,47,34,3,37,3
13,48,35,3,37,3
13,49,23,4,37,3
14,0,36,3,38,3
14,1,29,3,38,3
14,2,36,4,38,3
14,3,25,3,38,3
14,4,35,3,38,3
14,5,35,4,38,3
14,6,10,4,38,3
14,7,36,3,38,3
14,8,35,3,38,3
14,9,35,3,38,3
14,10,10,3,38,3
14,11,36,3,38,3
14,12,36,3,38,3
14,13,29,3,38,3
14,14,9,3,38,3
14,15,31,3,38,3
14,16,36,3,38,3
14,17,24,3,38,3
14,18,26,3,38,3
14,19,22,3,38,3
14,20,36,3,38,3
14,21,29,3,38,3
14,22,35,3,38,3
14,23,33,3,38,3
14,24,36,3,38,3
14,25,34,3,38,3
14,26,33,3,38,3
14,27,11,4,38,3
14,28,35,4,38,3
14,29,10,4,38,3
14,30,34,3,38,3
14,31,36,3,38,3
14,32,35,4,38,3
14,33,37,3,38,3
14,34,34,3,38,3
14,35,34,4,38,3
14,36,35,3,38,3
14,37,31,3,38,3
14,38,35,5,38,3
14,39,26,5,38,3
14,40,27,5,38,3
14,41,30,4,38,3
14,42,29,4,38,3
14,43,29,3,38,3
14,44,9,3,38,3
14,45,35,3,38,3
14,46,35,4,38,3
14,47,23,3,38,3
14,48,26,3,38,3
14,49,27,3,38,3
15,0,34,3,37,4
15,1,30,4,37,4
15,2,15,4,37,4
15,3,9,3,37,4
15,4,35,4,37,4
15,5,30,3,37,4
15,6,36,4,37,4
15,7,35,3,37,4
15,8,38,3,37,4
15,9,27,4,37,4
15,10,34,3,37,4
15,11,36,4,37,4
15,12,34,3,37,4
15,13,36,3,37,4
15,14,24,3,37,4
15,15,35,3,37,4
15,16,35,3,37,4
15,17,36,4,37,4
15,18,26,4,37,4
15,19,35,3,37,4
15,20,14,3,37,4
15,21,35,4,37,4
15,22,34,3,37,4
15,23,35,3,37,4
15,24,35,3,37,4
15,25,34,4,37,4
15,26,34,3,37,4
15,27,36,3,37,4
15,28,37,3,37,4
15,29,10,3,37,4
15,30,32,3,37,4
15,31,29,3,37,4
15,32,35,3,37,4
15,33,37,3,37,4
15,34,34,4,37,4
15,35,35,3,37,4
15,36,35,4,37,4
15,37,35,4,37,4
15,38,36,4,37,4
15,39,34,4,37,4
15,40,35,4,37,4
15,41,11,3,37,4
