generation,individual,accuracy,num_layers,best_accuracy,best_num_layers
7,27,85,6,95,5
7,28,91,7,95,5
7,29,90,6,95,5
7,30,93,4,95,5
7,31,80,5,95,5
7,32,92,4,95,5
7,33,94,3,95,5
7,34,93,6,95,5
7,35,93,5,95,5
7,36,93,3,95,5
7,37,94,6,95,5
7,38,91,8,95,5
7,39,92,5,95,5
7,40,92,5,95,5
7,41,95,4,95,5
7,42,95,6,95,5
7,43,91,6,95,5
7,44,90,6,95,5
7,45,90,6,95,5
7,46,90,6,95,5
7,47,94,8,95,5
7,48,10,5,95,5
7,49,56,8,95,5
8,0,94,5,95,5
8,1,95,6,95,5
8,2,94,4,95,5
8,3,90,6,95,5
8,4,92,4,95,5
8,5,93,4,95,5
8,6,91,4,95,5
8,7,94,5,95,5
8,8,89,6,95,5
8,9,95,5,95,5
8,10,85,5,95,5
8,11,90,7,95,5
8,12,89,7,95,5
8,13,90,4,95,5
8,14,92,8,95,5
8,15,92,3,95,5
8,16,94,5,95,5
8,17,90,6,95,5
8,18,88,6,95,5
8,19,87,3,95,5
8,20,90,4,95,5
8,21,94,4,95,5
8,22,90,7,95,5
8,23,91,3,95,5
8,24,93,4,95,5
8,25,85,7,95,5
8,26,92,4,95,5
8,27,91,4,95,5
8,28,93,6,95,5
8,29,92,6,95,5
8,30,93,8,95,5
8,31,92,3,95,5
8,32,94,5,95,5
8,33,86,5,95,5
8,34,92,4,95,5
8,35,93,3,95,5
8,36,92,5,95,5
8,37,93,3,95,5
8,38,92,6,95,5
8,39,86,3,95,5
8,40,90,5,95,5
8,41,92,3,95,5
8,42,94,5,95,5
8,43,87,5,95,5
8,44,90,6,95,5
8,45,90,7,95,5
8,46,89,6,95,5
8,47,93,7,95,5
8,48,91,7,95,5
8,49,85,5,95,5
9,0,95,5,96,6
9,1,95,6,96,6
9,2,88,7,96,6
9,3,94,4,96,6
9,4,92,7,96,6
9,5,88,8,96,6
9,6,89,7,96,6
9,7,94,5,96,6
9,8,95,4,96,6
9,9,94,4,96,6
9,10,92,5,96,6
9,11,91,8,96,6
9,12,94,5,96,6
9,13,92,6,96,6
9,14,91,5,96,6
9,15,90,5,96,6
9,16,92,5,96,6
9,17,92,5,96,6
9,18,91,4,96,6
9,19,94,5,96,6
9,20,92,4,96,6
9,21,92,4,96,6
9,22,91,4,96,6
9,23,94,8,96,6
9,24,90,6,96,6
9,25,92,4,96,6
9,26,88,6,96,6
9,27,94,4,96,6
9,28,89,5,96,6
9,29,89,4,96,6
9,30,88,6,96,6
9,31,95,4,96,6
9,32,95,5,96,6
9,33,90,5,96,6
9,34,92,4,96,6
9,35,89,7,96,6
9,36,90,4,96,6
9,37,11,3,96,6
9,38,95,5,96,6
9,39,88,4,96,6
9,40,92,4,96,6
9,41,94,5,96,6
9,42,95,4,96,6
9,43,94,3,96,6
9,44,92,8,96,6
9,45,90,6,96,6
9,46,93,3,96,6
9,47,95,6,96,6
9,48,93,4,96,6
9,49,94,5,96,6
10,0,92,6,95,4
10,1,93,4,95,4
10,2,89,4,95,4
10,3,88,5,95,4
10,4,91,5,95,4
10,5,90,6,95,4
10,6,94,8,95,4
10,7,91,4,95,4
10,8,94,7,95,4
10,9,89,5,95,4
10,10,94,4,95,4
10,11,96,5,95,4
10,12,94,4,95,4
10,13,92,8,95,4
10,14,89,4,95,4
10,15,95,6,95,4
10,16,93,5,95,4
10,17,91,4,95,4
10,18,94,5,95,4
10,19,91,5,95,4
10,20,91,5,95,4
10,21,91,4,95,4
10,22,94,3,95,4
10,23,89,5,95,4
10,24,94,4,95,4
10,25,10,5,95,4
10,26,90,5,95,4
10,27,93,3,95,4
10,28,89,3,95,4
10,29,90,3,95,4
10,30,11,3,95,4
